날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2020-05-30,108,22.6,16.5,30
2020-05-31,108,21.2,17.6,28
2020-06-01,108,19.7,16.6,24.5
2020-06-02,108,17.9,14.8,21.8
2020-06-03,108,22,17.6,28.4
2020-06-04,108,21.9,19.7,26.5
2020-06-05,108,23,18.4,28.7
2020-06-06,108,24.6,19.2,30.9
2020-06-07,108,22.7,19.2,29.2
2020-06-08,108,25,19.8,32
2020-06-09,108,26.7,20.3,32.8
2020-06-10,108,25.8,22.5,32.1
2020-06-11,108,26.1,21.7,31.6
2020-06-12,108,24.7,21.6,27.6
2020-06-13,108,26.9,20.6,33.5
2020-06-14,108,24,20.1,28.8
2020-06-15,108,23,18.2,28.6
2020-06-16,108,24.4,20,30.7
2020-06-17,108,24.3,20.2,30.3
2020-06-18,108,23.4,20.3,27.3
2020-06-19,108,24.7,21.1,30
2020-06-20,108,24.9,20.7,29.7
2020-06-21,108,26.1,19.5,32.7
2020-06-22,108,28.6,21.7,35.4
2020-06-23,108,27.3,23.2,31
2020-06-24,108,22.3,19.9,26.3
2020-06-25,108,21.6,20.1,23.4
2020-06-26,108,21.8,19.2,25.7
2020-06-27,108,24.1,20.4,29.6
2020-06-28,108,25.2,21.5,30.1
